        cld hd  LNA    Vac   Turbo Turbo Turbo elec.  botm  brng motor board inlet  pax  exhst rjctn housn  Fan  crnt  max   min   
  Time    (K)   (K)    mbar   RPM   amps watts  (C)   (C)   (C)   (C)   (C)   (C)   (C)   (C)   (C)   (C)   RPM watts watts watts  
18:02:08 330.2 144.4 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1383 170.0 230.0  70.0 N
18:03:08 330.2 144.5 1.5e-04 90015 123.5   101    50    51    52    53  29.8  31.0  28.0  28.0 ----- ----- 1388 170.0 230.0  70.0 N
18:03:54 ----- 144.5 1.5e-04 90015 123.5   101    50    51    52    53  29.9  31.0  27.9  28.0 ----- ----- 1390 ----- ----- ----- N
18:04:51  65.2 144.4 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  27.8  28.0 ----- ----- 1375 170.0 230.0  70.0 N
18:04:58  65.4 144.3 1.5e-04 90015 123.5   101    50    51    52    53  29.9  31.0  27.7  28.0 ----- ----- 1392 170.0 230.0  70.0 N
18:05:05  65.3 144.2 1.5e-04 90015 123.5   101    50    51    52    53  29.9  31.0  27.8  28.0 ----- ----- 1362 170.0 230.0  70.0 N
18:06:05  65.2 144.5 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1389 170.0 230.0  70.0 N
18:07:05  65.2 144.3 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1378 170.0 230.0  70.0 N
18:08:05  65.2 144.3 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1387 170.0 230.0  70.0 N
18:09:06  65.2 144.4 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  27.9  28.0 ----- ----- 1365 170.0 230.0  70.0 N
18:10:06  65.4 144.3 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1395 170.0 230.0  70.0 N
18:11:06  65.2 144.3 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  27.6  28.0 ----- ----- 1386 170.0 230.0  70.0 N
18:12:06  65.4 144.3 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  27.9  28.0 ----- ----- 1392 170.0 230.0  70.0 N
18:13:06  65.4 144.4 1.6e-04 90015 123.5   101    50    51    52    53  30.0  31.0  27.9  28.0 ----- ----- 1398 170.0 230.0  70.0 N
18:14:06  65.3 144.3 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1379 ----- ----- ----- N
18:15:06 ----- 144.3 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  27.7  28.0 ----- ----- 1385 ----- ----- ----- N
18:16:06 ----- 144.0 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  27.4  28.0 ----- ----- 1378 215.3 240.0 190.0 N
18:17:06  65.3 144.3 1.5e-04 90015 123.5   101    50    51    52    53  29.9  31.0  27.7  28.0 ----- ----- 1391 154.9 240.0  70.0 N
18:18:06  65.2 144.1 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  27.9  28.0 ----- ----- 1372 154.5 240.0  70.0 N
18:19:06  65.4 144.1 1.5e-04 90015 123.5   101    50    51    52    53  29.9  31.0  27.8  28.0 ----- ----- 1378 154.5 240.0  70.0 N
18:20:06  65.3 144.4 1.5e-04 90015 123.5   101    50    51    52    53  29.9  31.0  27.8  28.0 ----- ----- 1381 154.6 240.0  70.0 N
18:21:06  65.3 144.4 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  27.9  28.0 ----- ----- 1369 153.6 240.0  70.0 N
18:22:07  65.2 144.4 1.5e-04 90015 123.5   101    50    51    52    53  29.9  31.0  28.0  28.0 ----- ----- 1381 153.5 240.0  70.0 N
18:23:07  65.4 144.4 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1389 153.7 240.0  70.0 N
18:24:07  65.3 144.3 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1370 153.7 240.0  70.0 N
18:25:07  65.2 144.4 1.6e-04 90015 123.5   101    50    51    52    53  29.9  31.0  28.0  28.0 ----- ----- 1396 153.2 240.0  70.0 N
18:26:07  65.4 144.1 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  27.9  28.0 ----- ----- 1376 152.0 240.0  70.0 N
18:27:07  65.3 144.4 1.5e-04 90015 123.5   101    50    51    52    53  29.6  31.0  28.0  28.0 ----- ----- 1380 153.1 240.0  70.0 N
18:28:07  65.4 144.3 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1392 152.9 240.0  70.0 N
18:29:07  65.3 144.5 1.5e-04 90015 123.5   101    50    51    52    53  29.9  31.0  28.0  28.0 ----- ----- 1383 154.3 240.0  70.0 N
18:30:07  65.2 144.5 1.5e-04 90015 123.5   101    50    51    52    53  29.9  31.0  28.0  28.0 ----- ----- 1388 156.8 240.0  70.0 N
18:31:04  65.4 144.4 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1386 156.5 240.0  70.0 N
18:32:04  65.4 144.4 1.5e-04 90015 123.5   101    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1374 157.8 240.0  70.0 N
18:33:04  65.4 144.4 1.5e-04 90015 123.5   101    50    51    52    53  29.9  31.0  28.0  28.0 ----- ----- 1386 159.5 240.0  70.0 N
18:34:04  65.4 144.2 1.6e-04 90012 123.5   101    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1361 159.1 240.0  70.0 N
18:35:04  65.3 144.3 1.6e-04 90015 123.5   101    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1375 160.1 240.0  70.0 N
18:35:42  65.3 144.5 1.5e-04 90012   0.1    11    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1378 161.4 240.0  70.0 N
18:36:42  65.3 144.3 1.5e-04 90014   0.1    11    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1383 162.1 240.0  70.0 N
18:37:25  65.2 144.3 1.5e-04 90017   0.5    12    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1403 163.2 240.0  70.0 N
18:38:25  65.3 144.4 1.5e-04 90013   0.5    12    50    51    52    53  30.0  31.0  28.0  28.0 ----- ----- 1389 162.7 240.0  70.0 N
18:39:18  65.2 144.5 1.5e-04 90016   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1390 163.4 240.0  70.0 N
18:40:18  65.4 144.4 1.5e-04 90017   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1389 163.2 240.0  70.0 N
18:41:18  65.2 144.5 1.5e-04 90017   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1389 163.7 240.0  70.0 N
18:42:18  65.4 144.4 1.5e-04 90015   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1401 164.4 240.0  70.0 N
18:43:18  65.4 144.5 1.5e-04 90017   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1372 163.8 240.0  70.0 N
18:44:18  65.2 144.3 1.5e-04 90014   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1392 163.3 240.0  70.0 N
18:45:18  65.3 144.3 1.5e-04 90016   0.5    12    30    41    52    63  29.9  31.0  28.0  28.0 ----- ----- 1413 165.1 240.0  70.0 N
18:46:18  65.4 144.4 1.5e-04 90013   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1394 165.7 240.0  70.0 N
18:47:18  65.3 144.4 1.5e-04 90017   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1361 167.4 240.0  70.0 N
18:48:18  65.3 144.0 1.5e-04 90012   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1382 166.5 240.0  70.0 N
18:49:18  65.2 144.3 1.6e-04 90014   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1372 166.1 240.0  70.0 N
18:50:18  65.3 144.5 1.5e-04 90017   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1394 165.6 240.0  70.0 N
18:51:18  65.3 144.4 1.6e-04 90014   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1401 165.5 240.0  70.0 N
18:52:18  65.2 144.3 1.5e-04 90017   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1386 165.6 240.0  70.0 N
18:53:18  65.3 144.3 1.5e-04 90018   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1398 164.4 240.0  70.0 N
18:54:18  65.2 144.4 1.6e-04 90018   0.5    12    30    41    52    63  29.9  31.0  28.0  28.0 ----- ----- 1387 165.7 240.0  70.0 N
18:55:18  65.3 144.4 1.5e-04 90015   0.5    12    30    41    52    63  29.9  31.0  28.0  28.0 ----- ----- 1387 164.0 240.0  70.0 N
18:56:18  65.4 144.3 1.5e-04 90015   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1374 163.6 240.0  70.0 N
18:57:18  65.3 144.3 1.5e-04 90014   0.5    12    30    41    52    63  29.9  31.0  28.0  28.0 ----- ----- 1382 163.3 240.0  70.0 N
18:58:18  65.2 144.3 1.5e-04 90016   0.5    12    30    41    52    63  29.9  31.0  28.0  28.0 ----- ----- 1370 163.0 240.0  70.0 N
18:59:18  65.4 144.3 1.5e-04 90018   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1381 162.1 240.0  70.0 N
19:00:18  65.4 144.4 1.5e-04 90017   0.5    12    30    41    52    63  30.0  31.0  28.0  28.0 ----- ----- 1380 161.7 240.0  70.0 N
19:01:18  65.3 144.4 1.5e-04 90018   0.5    12    30    41    52    63  29.9  31.0  28.0  28.0 ----- ----- 1376 160.2 240.0  70.0 N
19:02:18  65.4 144.4 1.5e-04 90012   0.5    12    30    41    52    63  30.0  31.0  27.8  28.0 ----- ----- 1389 160.7 240.0  70.0 N
19:03:18  65.2 144.3 1.5e-04 90014   0.5    12    30    41    52    63  30.0  31.0  27.9  28.0 ----- ----- 1387 160.9 240.0  70.0 N
19:04:18  65.4 144.4 1.5e-04 90014   0.5    12    30    41    52    63  29.9  31.0  27.9  28.0 ----- ----- 1381 160.5 240.0  70.0 N
19:05:18  65.4 144.2 1.5e-04 90016   0.5    12    30    41    52    63  30.0  31.0  27.8  28.0 ----- ----- 1392 161.1 240.0  70.0 N
19:06:18  65.2 144.2 1.6e-04 90018   0.5    12    30    41    52    63  30.0  31.0  27.2  28.0 ----- ----- 1388 162.7 240.0  70.0 N
19:07:19  65.4 144.3 1.5e-04 90018   0.5    12    30    41    52    63  30.0  31.0  27.2  28.0 ----- ----- 1414 162.8 240.0  70.0 N
19:08:19  65.3 144.4 1.5e-04 90017   0.5    12    30    41    52    63  30.0  31.0  27.4  28.0 ----- ----- 1394 163.6 240.0  70.0 N
